title,revenue,budget,roi,main_genre,release_year,runtime,vote_average
The Bank Job,64828421,20000000,2.24142105,Thriller,2008,112,6.823
Stoker,12077441,12000000,0.006453416666666666,Drama,2013,99,6.659
Ri¢hie Ri¢h,38087756,40000000,-0.0478061,Comedy,1994,95,5.873
Thunderball,141195658,5500000,24.671937818181817,Adventure,1965,130,6.644
King Richard,39429285,50000000,-0.2114143,Drama,2021,145,7.717
A Rainy Day in New York,23800000,25000000,-0.048,Comedy,2019,92,6.499
Shanghai Knights,88323487,50000000,0.76646974,Action,2003,115,6.126
Mortal Kombat,122195920,18000000,5.788662222222222,Action,1995,101,5.838
Tears of the Sun,86468162,75000000,0.15290882666666666,War,2003,121,6.839
Priest,78309131,60000000,0.3051521833333333,Action,2011,87,5.765
Superman II,190458706,54000000,2.527013074074074,Science Fiction,1980,127,6.731
Men of Honor,82343495,32000000,1.57323421875,Drama,2000,129,7.46
Tron,33000000,17000000,0.9411764705882353,Science Fiction,1982,96,6.668
Mr. Deeds,171269535,50000000,2.4253907,Comedy,2002,96,5.839
Killers,98159963,75000000,0.30879950666666667,Action,2010,100,5.941
Ip Man 2,36000000,12902809,1.7900901268863239,Action,2010,108,7.5
About a Boy,129000000,27000000,3.7777777777777777,Drama,2002,101,6.654
Charlie St. Cloud,48190704,44000000,0.09524327272727273,Drama,2010,99,6.932
I Spit on Your Grave,572809,2000000,-0.7135955,Thriller,2010,108,6.5
Outbreak,189859560,50000000,2.7971912,Action,1995,127,6.53
The Time Machine,123729176,80000000,0.5466147,Science Fiction,2002,96,6.216
Reign of Fire,82150183,60000000,0.36916971666666665,Adventure,2002,101,6.163
Dead Silence,22217407,20000000,0.11087035,Horror,2007,89,6.4
The Perfect Storm,325756637,120000000,1.7146386416666666,Action,2000,130,6.426
The Smurfs 2,347434178,105000000,2.308896933333333,Fantasy,2013,105,5.768
Twins,216614388,15000000,13.4409592,Comedy,1988,107,5.986
Doom,58072119,60000000,-0.03213135,Action,2005,105,5.109
Just Mercy,50401502,25000000,1.01606008,Drama,2019,137,7.903
Trance,24261569,20000000,0.21307845,Thriller,2013,101,6.63
Spy Kids 3-D: Game Over,197011982,38000000,4.184525842105264,Action,2003,84,5.1
The Men Who Stare at Goats,68729358,24000000,1.86372325,Comedy,2009,94,5.967
Meg 2: The Trench,384056482,129000000,1.977182031007752,Action,2023,116,6.912
Hero,177394432,31000000,4.722401032258064,Drama,2002,99,7.509
Æon Flux,53321673,62000000,-0.13997301612903226,Science Fiction,2005,93,5.593
Paranormal Activity 3,207039844,5000000,40.4079688,Horror,2011,94,5.901
The Ghost Writer,60331447,45000000,0.3406988222222222,Thriller,2010,128,6.826
Milk,54589558,20000000,1.7294779,History,2008,128,7.251
Pride and Prejudice and Zombies,16457494,28000000,-0.41223235714285716,Romance,2016,108,6.146
Ma,51749995,5000000,9.349999,Horror,2019,99,5.796
Kramer vs. Kramer,106260000,8000000,12.2825,Drama,1979,105,7.555
Mile 22,66308758,35000000,0.8945359428571429,Action,2018,95,6.198
Evolution,98376292,80000000,0.22970365,Comedy,2001,101,6.051
Wayne's World,183097323,20000000,8.15486615,Comedy,1992,95,6.692
Pi,3221152,60000,52.68586666666667,Mystery,1998,84,7.111
Green Zone,94882889,100000000,-0.05117111,War,2010,115,6.456
The Amityville Horror,108047131,19000000,4.686691105263158,Horror,2005,90,6.122
Hannibal Rising,82169884,50000000,0.64339768,Crime,2007,121,6.236
The Beguiled,27397655,10500000,1.6093004761904761,Drama,2017,93,5.896
The Apartment,25000000,3000000,7.333333333333333,Comedy,1960,125,8.222
Where Am I Going?,75173000,11089000,5.779060330056813,Comedy,2016,86,6.8
The King of Comedy,2536000,19000000,-0.8665263157894737,Drama,1982,109,7.8
Unhinged,39238300,33000000,0.18903939393939395,Action,2020,90,6.467
Savages,82966152,45000000,0.8436922666666666,Crime,2012,131,6.349
This Is 40,88215156,35000000,1.5204330285714285,Comedy,2012,134,5.861
The House with a Clock in Its Walls,131523093,42000000,2.1315022142857143,Fantasy,2018,105,6.2
Run Lola Run,7267585,1530000,3.7500555555555555,Action,1998,81,7.321
Freedom Writers,43095175,21000000,1.0521511904761904,Crime,2007,123,7.911
Alvin and the Chipmunks: Chipwrecked,342695435,75000000,3.569272466666667,Comedy,2011,87,5.698
Spy Kids 2: The Island of Lost Dreams,119723358,38000000,2.1506146842105265,Action,2002,100,5.59
Only Lovers Left Alive,7600000,7000000,0.08571428571428572,Drama,2013,123,7.252
Adventureland,17164820,9800000,0.7515122448979592,Comedy,2009,107,6.39
Piranha 3D,83188165,24000000,2.4661735416666666,Comedy,2010,88,5.388
New Year's Eve,142044638,56000000,1.5365113928571428,Comedy,2011,118,5.883
Malignant,34891791,40000000,-0.127705225,Horror,2021,111,6.832
3 Days to Kill,53260230,28000000,0.9021510714285714,Action,2014,113,6.068
Last Vegas,134402450,28000000,3.8000875,Comedy,2013,105,6.402
Shaolin Soccer,42776760,10000005,3.2776738611630694,Action,2001,113,7.076
Galaxy Quest,90683916,45000000,1.0151981333333333,Comedy,1999,101,7.062
The Nutcracker and the Four Realms,59522646,120000000,-0.50397795,Fantasy,2018,99,6.079
Das Boot,85000000,14000000,5.071428571428571,Drama,1981,150,8.083
Cinderella Man,108539911,88000000,0.23340807954545453,Romance,2005,144,7.531
Creed III,275248615,75000000,2.6699815333333334,Drama,2023,116,7.194
The Drop,19054534,12600000,0.5122646031746032,Drama,2014,106,6.768
Victor Frankenstein,34227298,40000000,-0.14431755,Drama,2015,109,5.9
The Naked Gun 2½: The Smell of Fear,86930411,23000000,2.7795830869565217,Comedy,1991,85,6.774
Once Upon a Time in Mexico,98185582,29000000,2.3857097241379313,Action,2003,102,6.279
Monte Carlo,39782683,20000000,0.98913415,Adventure,2011,109,6.565
The Unholy,30833138,10000000,2.0833138,Horror,2021,99,6.667
Garfield: A Tail of Two Kitties,141702264,60000000,1.3617044,Animation,2006,78,5.548
The Hate U Give,34934009,23000000,0.5188699565217392,Crime,2018,133,8.162
The Human Centipede (First Sequence),252207,2011799,-0.8746360844199644,Horror,2009,92,5.2
Sex and the City,418765519,65000000,5.442546446153846,Comedy,2008,145,6.56
Sinister 2,53329150,10000000,4.332915,Horror,2015,97,5.876
Inkheart,62803180,60000000,0.046719666666666666,Adventure,2008,106,6.277
The Karate Kid Part II,115103979,13000000,7.85415223076923,Adventure,1986,113,6.259
Killing Them Softly,37930465,15000000,1.5286976666666667,Crime,2012,97,6.049
Butch Cassidy and the Sundance Kid,102308889,6000000,16.0514815,Western,1969,111,7.604
The Pope's Exorcist,70204828,18000000,2.900268222222222,Horror,2023,103,7.144
Triple 9,12639297,20000000,-0.36803515,Action,2016,115,5.963
Demolition,4366460,10000000,-0.563354,Comedy,2015,101,6.766
Magic in the Moonlight,51029361,16800000,2.0374619642857144,Comedy,2014,98,6.494
The Lego Movie 2: The Second Part,199603202,99000000,1.0161939595959597,Action,2019,106,6.682
Eddie the Eagle,46152411,23000000,1.0066265652173914,Comedy,2016,106,7.176
Poseidon,181674817,160000000,0.13546760625,Adventure,2006,98,5.841
Daddy Day Care,164433867,60000000,1.74056445,Comedy,2003,92,5.895
The Shack,96942115,20000000,3.84710575,Drama,2017,132,7.495
You Only Live Twice,111584787,9500000,10.74576705263158,Action,1967,117,6.557
My Big Fat Greek Wedding,368744044,5000000,72.7488088,Comedy,2002,95,6.5
Thank You for Smoking,24793509,6500000,2.814386,Comedy,2005,92,7.187
Primer,545436,7000,76.91942857142857,Science Fiction,2004,77,6.792
The Boat That Rocked,36348784,50000000,-0.27302432,Drama,2009,135,7.249
City Lights,4250000,1500000,1.8333333333333333,Comedy,1931,87,8.306
Hitman's Wife's Bodyguard,70060492,70000000,0.0008641714285714286,Action,2021,117,6.71
Rashomon,96568,250000,-0.613728,Crime,1950,88,8.124
Hunter Killer,31672678,40000000,-0.20818305,Action,2018,121,6.86
The Boy Next Door,52425855,4000000,12.10646375,Thriller,2015,91,4.869
My Sister's Keeper,95714875,30000000,2.1904958333333333,Drama,2009,109,7.36
Premium Rush,31083599,35000000,-0.11189717142857143,Crime,2012,91,6.317
Killer Elite,57777106,66000000,-0.12458930303030304,Action,2011,116,6.256
Julie & Julia,129540499,40000000,2.238512475,Romance,2009,123,6.693
Small Soldiers,54682547,40000000,0.367063675,Comedy,1998,110,6.524
Dogtooth,110197,275576,-0.6001212006851104,Drama,2009,98,7.099
Hot Shots!,181096164,26000000,5.965237076923077,Action,1991,84,6.552
She's Out of My League,49779728,20000000,1.4889864,Romance,2010,104,6.453
City of Angels,198685114,55000000,2.612456618181818,Romance,1998,114,6.761
Pet Sematary,57469467,11500000,3.997344956521739,Horror,1989,103,6.601
Videodrome,2120439,5952000,-0.6437434475806452,Horror,1983,88,7.296
Contraband,96262212,25000000,2.85048848,Thriller,2012,109,6.32
Jack and Jill,149673788,79000000,0.8946049113924051,Comedy,2011,91,4.352
Step Up Revolution,140470746,33000000,3.256689272727273,Music,2012,99,6.919
I Feel Pretty,94539426,32000000,1.9543570625,Comedy,2018,110,6.41
A Fish Called Wanda,62493712,7500000,7.332494933333333,Comedy,1988,109,7.201
The English Patient,231976425,27000000,7.591719444444444,Drama,1996,162,7.178
The Bridges of Madison County,182016617,24000000,6.584025708333333,Drama,1995,135,7.687
Spartacus,60000000,12000000,4.0,History,1960,197,7.55
George of the Jungle,174463257,55000000,2.1720592181818184,Adventure,1997,92,5.592
Traffic,207515725,48000000,3.3232442708333334,Thriller,2000,147,7.052
Sixteen Candles,23686027,6500000,2.644004153846154,Comedy,1984,93,6.8
The Rite,96047633,37000000,1.595881972972973,Drama,2011,114,6.093
Beauty and the Beast,49100000,33000000,0.48787878787878786,Fantasy,2014,112,6.129
A Bad Moms Christmas,130560428,28000000,3.6628724285714287,Comedy,2017,104,6.314
Licorice Pizza,27423319,40000000,-0.314417025,Drama,2021,133,7.002
The Warriors,22490039,4000000,4.62250975,Action,1979,94,7.675
CODA,1600000,10000000,-0.84,Drama,2021,112,7.967
She's All That,103166989,10000000,9.3166989,Comedy,1999,95,6.327
Trolls World Tour,49276818,90000000,-0.4524798,Family,2020,90,7.349
Bad Santa,76490720,23000000,2.3256834782608697,Drama,2003,92,6.514
Countdown,48021766,6500000,6.387964,Horror,2019,90,6.294
Don't Worry Darling,86669039,35000000,1.476258257142857,Thriller,2022,123,6.81
Youth,2000000,13360000,-0.8502994011976048,Comedy,2015,125,6.901
The Last King of Scotland,48618191,6000000,7.1030318333333335,Drama,2006,123,7.421
Hannah Montana: The Movie,155545279,35000000,3.4441508285714284,Comedy,2009,102,6.603
Dragonball Evolution,58228460,30000000,0.9409486666666667,Action,2009,85,2.89
Office Christmas Party,114501299,45000000,1.544473311111111,Comedy,2016,105,5.652
Aloha,26250020,37000000,-0.29054,Drama,2015,105,5.497
The Skeleton Key,93983911,43000000,1.1856723488372094,Drama,2005,104,6.603
Frida,56298474,12000000,3.6915395,Drama,2002,123,7.426
Max Payne,85416905,35000000,1.440483,Crime,2008,100,5.36
Coyote Ugly,113916474,45000000,1.5314772,Comedy,2000,100,6.244
Deliver Us from Evil,87937815,30000000,1.9312605,Thriller,2014,118,6.215
A Dangerous Method,27462041,15000000,0.8308027333333333,Drama,2011,99,6.344
Four Brothers,92374674,45000000,1.0527705333333333,Action,2005,109,6.755
The Invention of Lying,32406507,18500000,0.7517030810810811,Comedy,2009,100,6.183
My Girl,59490000,17000000,2.4994117647058824,Comedy,1991,103,7.372
Leap Year,32686500,19000000,0.7203421052631579,Romance,2010,100,6.889
Attack the Block,3964682,14350531,-0.7237257631790768,Action,2011,88,6.453
A Serious Man,31430334,7000000,3.4900477142857143,Comedy,2009,106,6.761
Two Weeks Notice,199043242,60000000,2.3173873666666664,Comedy,2002,101,6.353
The Other Boleyn Girl,78269970,35000000,1.236284857142857,Drama,2008,115,6.7
Rough Night,45056771,20000000,1.25283855,Drama,2017,101,5.691
To Rome with Love,73244881,17000000,3.308522411764706,Comedy,2012,111,5.773
Into the Storm,160602194,50000000,2.21204388,Action,2014,89,6.036
Planet 51,104945765,70000000,0.49922521428571426,Animation,2009,91,5.851
Thir13en Ghosts,68467960,42000000,0.6301895238095238,Horror,2001,91,6.208
Balto,11348324,31000000,-0.6339250322580645,Family,1995,78,7.29
Blackhat,17752940,70000000,-0.7463865714285715,Crime,2015,133,5.474
Seeking a Friend for the End of the World,9636289,10000000,-0.0363711,Comedy,2012,101,6.555
Krampus,61788393,15000000,3.1192262,Horror,2015,98,6.145
Peppermint,53918723,25000000,1.15674892,Action,2018,102,6.7
Extremely Loud & Incredibly Close,55247881,40000000,0.381197025,Drama,2011,129,6.971
Not Another Teen Movie,66468332,16000000,3.15427075,Comedy,2001,89,5.78
Mean Streets,3000000,500000,5.0,Drama,1973,111,7.093
Vantage Point,151161491,40000000,2.779037275,Drama,2008,90,6.37
Diamonds Are Forever,116019547,7200000,15.113825972222223,Adventure,1971,120,6.39
Keeping Up with the Joneses,29918745,40000000,-0.252031375,Action,2016,105,6.1
Three Kings,108000000,75000000,0.44,Action,1999,114,6.652
Abominable,190304772,75000000,1.53739696,Family,2019,97,7.509
Tombstone,56505065,25000000,1.2602026,Western,1993,130,7.603
Harold & Kumar Go to White Castle,23936908,9000000,1.6596564444444444,Comedy,2004,88,6.522
The Kid,2500000,250000,9.0,Comedy,1921,68,8.195
Sinbad: Legend of the Seven Seas,80767884,60000000,0.3461314,Family,2003,90,6.932
Spy Game,143049560,115000000,0.24390921739130436,Action,2001,126,6.921
The Game Plan,147880543,22000000,5.721842863636364,Comedy,2007,110,6.478
The Negotiator,44547681,50000000,-0.10904638,Action,1998,140,7.1
Robin Hood: Men in Tights,35739755,20000000,0.78698775,Comedy,1993,104,6.6
JFK,205405498,40000000,4.13513745,Drama,1991,189,7.603
Before I Go to Sleep,15447154,22000000,-0.29785663636363635,Thriller,2014,92,6.492
Dawn of the Dead,55000000,650000,83.61538461538461,Horror,1978,127,7.485
Layer Cake,11850214,6500000,0.8231098461538462,Drama,2004,105,6.926
Cheaper by the Dozen 2,129181830,60000000,1.1530305,Comedy,2005,94,6.138
The Crazies,54956140,20000000,1.747807,Mystery,2010,101,6.244
Home on the Range,145358062,110000000,0.32143692727272727,Animation,2004,76,6.026
Raising Arizona,29180280,6000000,3.86338,Comedy,1987,94,7.0
Let Me In,24145613,20000000,0.20728065,Drama,2010,116,6.776
Funny Games,7938872,15000000,-0.4707418666666667,Drama,2008,111,6.566
Dark Waters,13601384,20000000,-0.3199308,Drama,2019,127,7.53
Exam,394717,600000,-0.3421383333333333,Thriller,2009,101,6.714
Blockers,94017294,21000000,3.477014,Comedy,2018,102,6.3
Climax,1088907,2940457,-0.6296810325741883,Horror,2018,97,7.1
The Bridge on the River Kwai,44908000,3000000,13.969333333333333,Drama,1957,161,7.83
Babylon A.D.,72109200,70000000,0.030131428571428573,Action,2008,101,5.572
Letters from Iwo Jima,68673228,19000000,2.6143804210526316,Action,2006,141,7.457
A Man Called Otto,108961677,50000000,1.17923354,Comedy,2022,126,7.814
The Return of the Living Dead,14237880,4000000,2.55947,Horror,1985,91,7.133
Lolita,9250000,2000000,3.625,Drama,1962,154,7.349
Hunt for the Wilderpeople,23915910,2500000,8.566364,Adventure,2016,101,7.689
We Were Soldiers,114660784,75000000,0.5288104533333333,Action,2002,138,7.129
Tooth Fairy,112462508,48000000,1.3429689166666667,Comedy,2010,101,5.481
The Life of David Gale,38955598,50000000,-0.22088804,Drama,2003,130,7.417
Wall Street,43848069,15000000,1.9232046,Crime,1987,126,7.17
Dazed and Confused,7993039,69000000,-0.8841588550724637,Comedy,1993,102,7.341
The Haunted Mansion,182290266,90000000,1.0254474,Thriller,2003,88,5.631
Cool Runnings,154856263,14000000,10.061161642857142,Comedy,1993,98,6.989
Step Up All In,86165646,45000000,0.9147921333333333,Romance,2014,112,6.834
The 6th Day,96085477,82000000,0.17177410975609755,Science Fiction,2000,123,5.959
Unleashed,50871113,45000000,0.13046917777777778,Action,2005,103,6.903
Slender Man,11817275,10000000,0.1817275,Horror,2018,93,4.333
What If,7847000,11000000,-0.28663636363636363,Drama,2013,93,6.732
Scream VI,168961389,35000000,3.8274682571428573,Horror,2023,123,7.2
Hostel: Part II,35728183,10200000,2.502763039215686,Horror,2007,93,5.814
The Santa Clause,189833357,22000000,7.628788954545454,Fantasy,1994,97,6.436
Naked Gun 33⅓: The Final Insult,51132598,30000000,0.7044199333333333,Comedy,1994,83,6.459
Knock at the Cabin,54708659,20000000,1.73543295,Thriller,2023,100,6.351
Roman Holiday,12000000,1500000,7.0,Romance,1953,119,7.885
Footloose,80035402,8200000,8.760414878048781,Drama,1984,107,6.661
Star Wars: The Clone Wars,68282844,8500000,7.033275764705882,Animation,2008,98,6.1
Hall Pass,83200000,36000000,1.3111111111111111,Comedy,2011,105,5.658
From Paris with Love,52844496,52000000,0.016240307692307693,Action,2010,92,6.269
Live and Let Die,126377836,7000000,17.05397657142857,Adventure,1973,121,6.484
DragonHeart,115267375,57000000,1.022234649122807,Fantasy,1996,103,6.519
Entrapment,212404396,66000000,2.2182484242424243,Romance,1999,112,6.201
The Man with the Golden Gun,97572000,7000000,12.938857142857144,Adventure,1974,125,6.438
Couples Retreat,171844840,70000000,1.4549262857142857,Comedy,2009,113,5.542
Oldboy,5186767,30000000,-0.8271077666666666,Drama,2013,104,5.919
The Omen,60922980,2800000,20.75820714285714,Horror,1976,111,7.398
The Wolf's Call,12652790,22400000,-0.43514330357142855,Thriller,2019,115,7.551
Runaway Bride,309457509,70000000,3.4208215571428573,Comedy,1999,116,6.071
Colonia,3621046,14000000,-0.7413538571428572,Drama,2015,106,7.285
The Rundown,80916492,85000000,-0.04804127058823529,Adventure,2003,104,6.444
Babysitting,20258904,3400000,4.958501176470588,Comedy,2014,85,6.812
Daybreakers,51417188,20000000,1.5708594,Action,2009,98,6.276
[REC]²,18469680,5600000,2.298157142857143,Thriller,2009,84,6.602
Gnomeo & Juliet,189712432,36000000,4.269789777777778,Animation,2011,84,5.85
Astérix at the Olympic Games,132900000,97250400,0.366575355988253,Fantasy,2008,116,5.204
The Firm,270248367,42000000,5.434484928571429,Drama,1993,155,6.734
Halloween II,25533818,2500000,9.2135272,Horror,1981,92,6.539
Step Up 3D,159291809,30000000,4.309726966666667,Drama,2010,107,6.816
Vivarium,487625,3947600,-0.8764755800993008,Science Fiction,2019,97,6.08
The Lost Boys,32222567,8500000,2.7908902352941176,Horror,1987,97,7.0
Easy Rider,60000000,400000,149.0,Adventure,1969,95,7.1
16 Blocks,65664721,55000000,0.19390401818181818,Action,2006,105,6.424
8MM,96618699,40000000,1.415467475,Thriller,1999,123,6.406
Fright Night,41002607,30000000,0.36675356666666664,Horror,2011,106,6.219
Out of the Furnace,15400000,22000000,-0.3,Thriller,2013,116,6.578
Blair Witch,45172994,5000000,8.0345988,Thriller,2016,89,5.2
The Pink Panther,158851357,65000000,1.4438670307692307,Comedy,2006,93,5.827
High Fidelity,47126295,30000000,0.5708765,Drama,2000,113,7.129
The House Bunny,70442940,25000000,1.8177176,Romance,2008,97,5.649
Ray,124731534,40000000,2.11828835,Drama,2004,152,7.439
A View to a Kill,152427960,30000000,4.080932,Adventure,1985,131,6.214
21 Bridges,49939757,33000000,0.5133259696969696,Crime,2019,99,6.757
Red Eye,57891803,26000000,1.2266078076923077,Thriller,2005,85,6.382
Mary and Max,1740429,8240000,-0.7887828883495146,Animation,2009,92,7.872
Moonraker,210308099,34000000,5.1855323235294115,Action,1979,126,6.153
The Faculty,40283321,15000000,1.6855547333333334,Horror,1998,104,6.508
The Choice,18730891,10000000,0.8730891,Drama,2016,111,7.172
The Sisters Brothers,13143056,38000000,-0.6541301052631578,Drama,2018,121,6.828
Repo Men,18409891,32000000,-0.42469090625,Action,2010,111,6.312
The Basketball Diaries,2381087,2000000,0.1905435,Drama,1995,102,7.378
State of Play,87812371,60000000,0.46353951666666665,Thriller,2009,127,6.786
Boyz n the Hood,57504069,6500000,7.846779846153846,Crime,1991,112,7.611
Ip Man 4: The Finale,176345966,52000000,2.391268576923077,Action,2019,107,7.257
The Spy Who Loved Me,185438673,13000000,13.264513307692308,Adventure,1977,125,6.8
Road Trip,119754278,16000000,6.484642375,Comedy,2000,93,6.169
The Tuxedo,104391623,60000000,0.7398603833333334,Thriller,2002,98,5.696
Midnight Special,6740647,18000000,-0.6255196111111111,Adventure,2016,112,6.222
Just My Luck,38159905,28000000,0.36285375,Comedy,2006,103,6.114
Octopussy,187500000,27500000,5.818181818181818,Adventure,1983,131,6.325
Machete Kills,15008161,12000000,0.25068008333333336,Action,2013,107,5.591
Wild Child,21972336,20000000,0.0986168,Comedy,2008,98,6.721
"I, Frankenstein",76801179,65000000,0.1815566,Horror,2014,92,5.306
Christine,21200000,9700000,1.1855670103092784,Horror,1983,110,6.854
The Guest,2700051,5000000,-0.4599898,Mystery,2014,100,6.634
Army of Thieves,46900000,30000000,0.5633333333333334,Action,2021,127,6.867
Maid in Manhattan,154906693,55000000,1.8164853272727273,Comedy,2002,105,6.098
The Fabelmans,45598614,40000000,0.13996535,Drama,2022,151,7.723
Willow,57269863,35000000,0.6362818,Action,1988,126,7.024
Plane,51000000,25000000,1.04,Action,2023,107,6.997
Bend It Like Beckham,76578641,3500159,20.878617799934233,Comedy,2002,112,6.298
Ballerina,2351359,30000000,-0.9216213666666667,Animation,2016,89,7.182
Child's Play,44902237,10000000,3.4902237,Horror,2019,90,5.983
Indiana Jones and the Dial of Destiny,382891104,294700000,0.29925722429589413,Adventure,2023,155,6.679
The Dinner Game,78599508,12500000,5.28796064,Comedy,1998,80,7.788
La Femme Nikita,5000000,8538703,-0.4144309738844412,Action,1990,117,7.093
Escape Room: Tournament of Champions,65774490,15000000,3.384966,Horror,2021,88,6.58
Faster,23081726,24000000,-0.038261416666666666,Crime,2010,98,6.316
American Pie Presents: Beta House,18610260,10000000,0.861026,Comedy,2007,89,5.633
Saturday Night Fever,237113184,3500000,66.746624,Music,1977,119,6.714
Cellular,57678321,25000000,1.30713284,Action,2004,94,6.362
Serendipity,77516304,28000000,1.7684394285714287,Comedy,2001,90,6.9
The Switch,49830607,19000000,1.6226635263157896,Comedy,2010,101,6.241
Two Night Stand,868081,1645000,-0.4722911854103343,Romance,2014,86,6.423
Empire of the Sun,66700000,35000000,0.9057142857142857,Drama,1987,153,7.513
Paranormal Activity 4,142802657,5000000,27.5605314,Horror,2012,97,5.418
G-Force,292817841,150000000,0.95211894,Animation,2009,88,5.4
Scouts Guide to the Zombie Apocalypse,14860766,15000000,-0.009282266666666667,Comedy,2015,93,6.507
Mr. Holmes,29355203,11000000,1.6686548181818182,Drama,2015,104,6.467
Star Trek II: The Wrath of Khan,96800000,12000000,7.066666666666666,Action,1982,113,7.5
Conan the Barbarian,63523283,90000000,-0.29418574444444445,Adventure,2011,113,5.306
Battle of the Sexes,12638526,25000000,-0.49445896,Comedy,2017,121,6.777
The Family Man,124700000,60000000,1.0783333333333334,Comedy,2000,125,6.768
Halloween 4: The Return of Michael Myers,17800000,5000000,2.56,Horror,1988,88,6.202
That's My Boy,58058367,70000000,-0.17059475714285716,Comedy,2012,116,5.785
Elephant,10012022,3000000,2.3373406666666665,Crime,2003,81,7.076
Licence to Kill,156167015,32000000,3.88021921875,Adventure,1989,133,6.364
Twin Peaks: Fire Walk with Me,4184990,10000000,-0.581501,Drama,1992,135,7.343
Year One,62357900,60000000,0.03929833333333333,Comedy,2009,97,4.954
St. Vincent,54837234,13000000,3.2182487692307693,Comedy,2014,102,7.089
Role Models,92380927,28000000,2.2993188214285714,Comedy,2008,99,6.492
The Woman King,97250903,50000000,0.94501806,Action,2022,135,7.749
Paterson,2152738,5000000,-0.5694524,Drama,2016,118,7.102
I Can Quit Whenever I Want,54606,2000000,-0.972697,Comedy,2014,100,7.432
Welcome to the South,65584679,4000000,15.39616975,Comedy,2010,102,6.72
eXistenZ,2856712,15000000,-0.8095525333333333,Action,1999,97,6.813
Serpico,29800000,3000000,8.933333333333334,Crime,1973,130,7.544
Papillon,53267000,12000000,3.4389166666666666,Crime,1973,151,7.842
Crocodile Dundee,328203506,5000000,64.6407012,Adventure,1986,104,6.385
Shoot 'Em Up,26820641,39000000,-0.3122912564102564,Action,2007,86,6.444
Elle,2341534,9804690,-0.761182250535203,Drama,2016,130,6.659
The Counselor,71009334,25000000,1.84037336,Thriller,2013,117,5.266
West Side Story,43656822,6000000,6.276137,Crime,1961,151,7.3
Ambulance,51783040,40000000,0.294576,Thriller,2022,136,6.7
The Last: Naruto the Movie,19840000,903852,20.950496320194013,Action,2014,114,7.758
Barbarian,45352337,4500000,9.07829711111111,Horror,2022,103,6.916
Jaws 2,187884007,20000000,8.39420035,Horror,1978,116,5.964
Tango & Cash,63408614,55000000,0.1528838909090909,Action,1989,104,6.422
All About My Mother,67872296,8272296,7.204771202577858,Comedy,1999,101,7.7
"Dude, Where's My Car?",73180723,13000000,4.629286384615384,Comedy,2000,83,5.547
Mandy,1214525,6000000,-0.7975791666666666,Horror,2018,122,6.194
Dragon Ball Z: Resurrection 'F',61768190,5000000,11.353638,Action,2015,93,6.812
A Haunted House,60141683,2500000,23.0566732,Comedy,2013,86,5.871
Nanny McPhee and the Big Bang,93251121,35000000,1.664317742857143,Comedy,2010,109,6.276
A Wrinkle in Time,132675864,103000000,0.2881151844660194,Adventure,2018,109,5.102
Where the Wild Things Are,100140916,100000000,0.00140916,Family,2009,101,6.47
Lockout,32948113,20000000,0.64740565,Action,2012,95,5.9
What to Expect When You're Expecting,79700000,40000000,0.9925,Romance,2012,110,6.018
Along Came a Spider,105178561,60000000,0.7529760166666667,Crime,2001,104,6.332
"Planes, Trains and Automobiles",49500000,15000000,2.3,Comedy,1987,93,7.234
Ella Enchanted,27388767,31000000,-0.11649138709677419,Family,2004,96,6.442
Analyze This,176885658,80000000,1.211070725,Comedy,1999,103,6.483
Terrifier,416322,100000,3.16322,Horror,2018,84,6.519
Bedazzled,90383208,48000000,0.8829835,Fantasy,2000,93,6.028
xXx: State of the Union,71073932,60000000,0.18456553333333334,Action,2005,101,5.011
Regression,17671101,20000000,-0.11644495,Horror,2015,106,5.575
The Jackal,159330280,60000000,1.6555046666666666,Action,1997,124,6.336
Bride of Chucky,50671850,25000000,1.026874,Comedy,1998,89,6.0
Drive Angry,40909909,50000000,-0.18180182,Fantasy,2011,105,5.475
Dante's Peak,178127760,116000000,0.5355841379310344,Action,1997,108,6.176
Monty Python's The Meaning of Life,14949697,9000000,0.6610774444444445,Comedy,1983,107,7.32
Mirrors,72436439,35000000,1.0696125428571428,Horror,2008,111,6.251
Enter the Dragon,21485066,10000000,1.1485066,Action,1973,102,7.425
Team America: World Police,50907422,32000000,0.5908569375,Adventure,2004,97,6.711
The Whole Nine Yards,106371651,41300000,1.575584769975787,Comedy,2000,98,6.436
Magic Mike XXL,117813057,14800000,6.960341689189189,Comedy,2015,115,6.16
On Her Majesty's Secret Service,64574493,6000000,9.7624155,Adventure,1969,142,6.582
House at the End of the Street,44287131,6900000,5.418424782608696,Horror,2012,101,5.792
End of Days,211989043,100000000,1.11989043,Action,1999,121,6.043
Hot Shots! Part Deux,133752825,25000000,4.350113,Action,1993,86,6.522
The Craft,24819936,15000000,0.6546624,Horror,1996,101,6.737
Free Willy,153698625,20000000,6.68493125,Family,1993,112,6.17
The Core,74208267,60000000,0.23680445,Action,2003,136,5.771
Batman: The Killing Joke,3775000,3500000,0.07857142857142857,Action,2016,77,6.597
Good Boys,111037232,20000000,4.5518616,Comedy,2019,89,6.844
Mary Queen of Scots,37807625,25000000,0.512305,Drama,2018,124,6.6
National Lampoon's Van Wilder,39241323,6000000,5.5402205,Comedy,2002,92,6.015
District B13,9584131,12000000,-0.20132241666666667,Action,2004,84,6.778
